global_bit,kind,control_bit,cell,local_bit,x,y,z,bit
280,cell,,2,16,0.02887123539097771,0.011958857261409056,0.25,0
281,cell,,2,17,0.02887123539097771,0.011958857261409056,0.265625,0
282,cell,,2,18,0.02887123539097771,0.011958857261409056,0.28125,0
283,cell,,2,19,0.02887123539097771,0.011958857261409056,0.296875,0
284,cell,,2,20,0.02887123539097771,0.011958857261409056,0.3125,0
285,cell,,2,21,0.02887123539097771,0.011958857261409056,0.328125,0
286,cell,,2,22,0.02887123539097771,0.011958857261409056,0.34375,0
287,cell,,2,23,0.02887123539097771,0.011958857261409056,0.359375,0
288,cell,,2,24,0.02887123539097771,0.011958857261409056,0.375,0
289,cell,,2,25,0.02887123539097771,0.011958857261409056,0.390625,0
290,cell,,2,26,0.02887123539097771,0.011958857261409056,0.40625,0
291,cell,,2,27,0.02887123539097771,0.011958857261409056,0.421875,0
292,cell,,2,28,0.02887123539097771,0.011958857261409056,0.4375,0
293,cell,,2,29,0.02887123539097771,0.011958857261409056,0.453125,0
294,cell,,2,30,0.02887123539097771,0.011958857261409056,0.46875,0
295,cell,,2,31,0.02887123539097771,0.011958857261409056,0.484375,0
296,cell,,2,32,0.02887123539097771,0.011958857261409056,0.5,0
297,cell,,2,33,0.02887123539097771,0.011958857261409056,0.515625,1
298,cell,,2,34,0.02887123539097771,0.011958857261409056,0.53125,0
299,cell,,2,35,0.02887123539097771,0.011958857261409056,0.546875,1
300,cell,,2,36,0.02887123539097771,0.011958857261409056,0.5625,1
301,cell,,2,37,0.02887123539097771,0.011958857261409056,0.578125,1
302,cell,,2,38,0.02887123539097771,0.011958857261409056,0.59375,1
303,cell,,2,39,0.02887123539097771,0.011958857261409056,0.609375,1
304,cell,,2,40,0.02887123539097771,0.011958857261409056,0.625,0
305,cell,,2,41,0.02887123539097771,0.011958857261409056,0.640625,0
306,cell,,2,42,0.02887123539097771,0.011958857261409056,0.65625,0
307,cell,,2,43,0.02887123539097771,0.011958857261409056,0.671875,0
308,cell,,2,44,0.02887123539097771,0.011958857261409056,0.6875,0
309,cell,,2,45,0.02887123539097771,0.011958857261409056,0.703125,0
310,cell,,2,46,0.02887123539097771,0.011958857261409056,0.71875,0
311,cell,,2,47,0.02887123539097771,0.011958857261409056,0.734375,0
312,cell,,2,48,0.02887123539097771,0.011958857261409056,0.75,0
313,cell,,2,49,0.02887123539097771,0.011958857261409056,0.765625,0
314,cell,,2,50,0.02887123539097771,0.011958857261409056,0.78125,0
315,cell,,2,51,0.02887123539097771,0.011958857261409056,0.796875,0
